location_id,region_name,category_name,location_name,location_description
0,al-kareum,stay,게우지코지 펜션,"

여행을 온 만큼 늦잠 잘 법도 한데, <게우지코지 펜션>에 묵는 여행객들은 유독 새벽에 기상해요. 어둑어둑한 때 테라스에 나와 바다를 보는 것인데요. 탁 트인 전망은 새벽의 감동을 느끼게 해주죠. 잠시 후 하늘에 붉은 빛이 돌기 시작하면, 잠과 맞바꾼 제주 바다 일출의 가치를 알게 되요.

뷰가 좋다는 숙소 사이에서도, <게우지코지 펜션>은 돋보여요. 객실 내 앞쪽 창으로 끝없이 펼쳐진 바다가 보이고, 옆쪽으로 난 창에는 한라산이 선명하게 보이거든요. 뷰가 좋은 만큼 실내 공간도 쾌적하고 감각적인데, 원목과 발리풍의 소품이 고급스럽고 신선한 분위기를 자아낸답니다.

<게우지코지 펜션>은 베이커리 카페와 함께 운영 중인데, 조식으로 갓 구운 크로와상과 음료가 제공되고 있어요. 방문객들이 입을 모아 칭찬하는데는 이유가 있으니, 아침 일찍 일출과 함께 여유로운 식사를 즐기기 바래요.
“보목포구이든, 쇠소깍이든, 해안로를 가다보면 사막의 오아시스처럼 나타나는 게우지코지 입니다.화려함 보다는 정갈하고 손길이 닿아있는 공간을 만들고 싶어요. 제주에 와서 관광을 즐기시는 분들도 계시겠지만 방문해 주셨던 분들께서 그러시더군요. 제주 여행을 위해 게우지코지에 오는게 아닌 게우지코지에 머무르기 위해 제주를 찾게 된다고요. 첫 방문과 그 다음 방문에도 변함없는 제주의 푸르른 아침을 보여드리고 싶어요.”

게우지코지 펜션
제주특별자치도 서귀포시 하효동 1371-1
제주특별자치도 서귀포시 보목포로 177
우리 숙소의 특별한 점
• 제주의 푸른 바다를 한눈에 볼 수 있는 전망
• 제주스러움을 느낄 수 있는 아름다운 조경
• 갤러리와 함께하는 맛있는 커피와 베이커리
이런 여행객에게 추천
• 신선한 원두로 직접 로스팅한 커피 한 잔의 여유를 즐기고 싶은 분
• 국내에서 흔히 찾을 수 없는 발리풍 인테리어를 경험하고 싶은 분
• 제주 바다와 바람을 가까이 느끼고 싶은 분
알아두면 좋은 사항
• 아침 일찍 일어나 테라스에서 탁트인 바다를 보세요. 멋진 하루가 시작될거예요.
"
1,al-kareum,stay,과수원집 소원재,"

남원읍 작은 마을에 삼나무와 귤나무로 둘러싸인 자그마한 2인 독채 스테이입니다. 고요함 속 조용히 휴식을 취하고 싶은 분들을 위한 공간입니다. 이 과수원 땅을 처음 만났을 때, 새 소리 바람 소리 외에는 아무것도 들리지 않았습니다. 모든 걱정을 잊게 해주던 그 느낌을 방문하는 분들께 그대로 전달하고 싶었어요. 이곳에 머무는 동안 누구에게도 방해받지 않는 여행을 즐기셨으면 좋겠습니다. 아무것도 하지 않아도 되는 하루, 정말 소중하지 않나요? 그래서 과수원집 소원재에는 주방이 없습니다. 제주도 곳곳을 여행하며 맛있는 음식을 드시고, 숙소에서는 편안하게 책도 보고 음악도 들으며 온전히 쉬어보세요. 무언가를 해야 한다는 부담감 없이 편안하게 보내셨으면 좋겠습니다.
""저희 부부가 제주살이의 꿈을 안고 입도한 지 5년이 지났습니다. 땅을 찾고 집을 짓는 과정부터 부부가 함께했기에 공간 어느 하나 저희의 손길이 닿지 않은 부분이 없습니다. 첫 손님을 받았던 그날처럼 지금도 정성으로 스테이를 가꾸고 관리하고 있습니다. 오픈 첫날부터 4년이 지난 지금까지도 매일 첫날과 같은 마음으로 청소하고 손님을 맞을 준비를 하고 있어요.""

과수원집 소원재
제주특별자치도 서귀포시 한남리 335-10
제주특별자치도 서귀포시 남원읍 남한로 418-11
우리 숙소의 특별한 점
• 개발이 많이 이루어진 제주에서 보기 드물게 조용하고 깨끗한 동네의 숙소
• 아침부터 밤까지 지저귀는 새와 밤 하늘에 쏟아지는 별
• 훈훈하고 따뜻한 마음을 나눠주는 마을 분들
이런 여행객에게 추천
• 집에서 책과 음악과 온전한 쉼을 느끼는 ‘할 일이 없는 여행’을 하고 싶은 분
• 지친 일상에서 벗어나 조용하고 편안하게 쉬어가실 분
• 공간에서 쉬면서 몸과 마음을 풍요롭게 채우고 싶으신 분
• 청결함이 여행에서 최고로 중요한 분
알아두면 좋은 사항
• 숙소에 텔레비전과 주방이 없어요.
• 아침 식사를 제공하며, 포장 음식은 반입이 어려워요.
• 도보 가능 거리에 버스 정류장이 있어요.
• 성인만 투숙 가능해요.
"
2,al-kareum,stay,귤나잇,"

귤나잇은 서귀포 시내 중심권에 위치합니다. 남쪽 동네 어디든 접근이 용이하고 편의시설도 가까이 있어요. 하지만 3천 평 귤 밭 안에 있기 때문에, 한적하고 호젓한 분위기를 느낄 수 있습니다. 80년 대에 지어진 주택을 저와 남편이 귤나잇으로 개조하고 꾸몄어요. 집의 큰 틀은 건드리지 않고 살렸기 때문에 옛날 할머니 댁에 놀러 온 아늑한 기분을 느끼실 수 있을 거예요.
""저희 숙소는 은퇴 이후 도시에서의 삶을 내려놓으시고 제주로 오신 부모님과 함께 운영하고 있어요. 즉, 귤나잇의 호스트는 총 세 명이라고 할 수 있지요. 인테리어와 예약 및 체크인을 담당하는 저, 객실 청소와 셋팅을 담당하시는 아버지, 정원을 가꾸며 손님들을 따뜻하게 맞아주시는 어머니가 함께 귤나잇을 꾸려 가고 있답니다. 꼼꼼하고 깔끔한 부모님께서 숙소를 정성껏 가꾸고 계셔서 청결만큼은 안심하고 오셔도 좋아요.""

귤나잇
제주특별자치도 서귀포시 호근동 1536
제주특별자치도 서귀포시 속골로 66-7
우리 숙소의 특별한 점
• 숙소에서 창 밖 가득 펼쳐지는 드넓은 귤 밭과 시원한 한라산 능선
• 노오란 귤이 주렁주렁 달린 귤밭 너머 흰 눈이 소복하게 덮힌 한라산 능선에 비스듬히 비치는 노을
• 사계절 모두 매력적이지만, 특히 겨울의 귤나잇은 엄지 척
이런 여행객에게 추천
• 오션 뷰보다는 마운틴 뷰를 좋아하는 분
• 책과 함께 하는 여행객
• 올레길 7코스를 지나는 올레꾼
• 80년 대 할머니 집 감성을 원하지만 청결도 놓칠 수 없는 분
알아두면 좋은 사항
• 도보로 접근 가능한 거리에 버스 정류장과 편의점이 있어요.
• 서귀포 버스 터미널이 가까워요.
• 숙소 1층에 규모는 작지만 큐레이션이 알찬 동네 책방이 있어요.
• 유아용 의자와 유아용품이 있어요.
• 오래 전 지어진 집이기 때문에 겨울철에는 아파트나 호텔처럼 따뜻하지 않을 수 있어요.
"
3,al-kareum,stay,귤림동화,"

귤 밭에 자연스럽게 어울리는 공간으로 귤림과 하나가 되는 '귤림동화'로 이름 짓게 되었습니다. 집안은 집중의 공간으로, 집 밖은 집중을 벗어난 이상향과 자유로운 공간으로 만들었어요. 시그니처인 레일 달린 침대로 창밖을 나가 귤림 속에서 잠을 청할 수 있어요. 폴라로이드 즉석카메라(후지 인스탁스 미니 40) 와 필름을 무료로 제공하니, 숙소 안팎 다양한 포토스팟에서 근사한 추억을 남겨보세요. 사계절 내내 웰컴 귤을 드리며, 10월부터 2월까지는 직접 수확한 귤을 한 팀당 3kg씩 가져갈 수 있는 무료 귤 따기 체험도 가능해요. 식물 가득한 온실에서는 준비된 족욕제와 함께 족욕도 즐길 수 있습니다.
“저는 서울에서 공연 사진을 찍는 일을 했습니다. 제주에 내려오기 전에도 자연과 벗 삼아 하는 일을 좋아해 캠핑과 등산을 자주 가며 양평에서 전원생활을 했어요. 아이들이 크고 난 후, 축구선수를 하는 작은 아이의 전지훈련차 자주 왔던 제주에서 새로운 꿈을 이뤄나가기 위해 정착하게 되었습니다.”

귤림동화
제주특별자치도 서귀포시 남원읍 의귀리 734-3
제주특별자치도 서귀포시 남원읍 원님로 25번길 33-14
우리 숙소의 특별한 점
• 침대에 누워서 창밖 귤림 속으로 굴러가는(!) 레일 달린 침대
• 족욕, 노천탕, 그림일기, 불멍 등 다양한 즐길 거리
• 편하게 누워서 바라보는 하늘 가득한 별
• 삼나무 방풍림 너머 한라산 뷰가 보이는 루프탑에서 내려다보는 넓은 귤 밭
이런 여행객에게 추천
• 숙소의 모토인 ‘잘 놀고 잘 쉬다!’에 걸맞는 다양한 놀 거리와 즐길 거리를 원하는 분
• 다양한 포토스팟과, 감각적이고 입체적인 숙소에서의 경험을 원하는 분
• 귤 밭 속 다양한 자연을 배경으로 멋진 사진을 남기고 싶은 분
• 삶에서 벗어나 자연 속에서 이상적이고 자유로운 하루를 보내고 싶은 분
알아두면 좋은 사항
• 동백 휴양림, 휴애리, 사려니 숲길, 물영아리 오름이 가까이 있어요.
• 여름에는 물총놀이가 가능하고, 귤 밭 노천탕 온수는 무료로 제공되요.
• 귤 밭 불멍존(모닥불)의 장작 무료 세팅, 캠핑 폴딩 박스와 오로라 불멍 가루를 제공해요.
• 네스프레소 버츄오 플러스 캡슐커피를 얼음과 함께 즐길 수 있어요.
• 직접 제작한 귤림동화 사진엽서 3장과 향낭 2개를 제공해 드려요.
"
4,al-kareum,stay,귤림성 펜션,"

귤림성은 드넓은 귤 밭(귤림)에서 이루다(이룰 성)라는 뜻입니다. 귤 밭에서 보내는 친환경적인 하루를 선사하기 위해 숙소와 침대를 모두 측백나무를 활용해 만들었어요. 제주의 대표 현무암과 야생화 5만여 점의 분재작품을 둘러보고 한라산이 보이는 숨도(숨이 쉬어가는 섬) 카페에서 잠시 쉬어가도 좋은 곳입니다.
""저는 관광사업에 40여 년 넘게 종사했습니다. 신혼여행의 성지로 제주가 뜨기 시작할 무렵부터 대한민국 최초로 팜스테이 펜션을 시작했습니다. 신혼부부로 방문했던 게스트들이 성인이 된 자녀와 함께 찾아주시거나 아침에 잘 가꾼 정원을 보며 행복해하시는 게스트를 보면 더할 나위 없이 기쁩니다.""

귤림성 펜션
제주특별자치도 서귀포시 호근동 569-2
제주특별자치도 서귀포시 일주동로 8941
우리 숙소의 특별한 점
• 원목 나무 침대에 누워 담뿍 느끼는 나무 향기
• 야외정원에서 만나는 야생초 군락과 여름에 보는 수국, 겨울에 만나는 동백꽃
• 15,000장의 LP 음악, 아날로그 오디오와 함께하는 귀와 입이 즐거운 조식
• 게스트는 무료로 입장 가능한 제주 현무암 석부작 작품이 있는 숨도
이런 여행객에게 추천
• 부모님과 또는 자녀와 함께 온전히 쉬고 싶은 분
• 자연에 흠뻑 젖어들어 편안하게 머물고 싶은 분
• 제주 시골과 도시를 동시에 누릴 수 있는 위치의 숙소를 원하는 분
알아두면 좋은 사항
• 가을에는 귤 밭 체험을 할 수 있어요.
• 올레시장과 대형마트가 차로 4-5분, 도보 20분 거리에 있어요.
• 유아용 의자가 준비되어 있어요.
"
5,al-kareum,stay,녹음실 제주,"

녹음실의 녹음에는 3가지 의미가 있어요. 기록을 의미하는 녹음(record). 나무의 그늘을 뜻하는 녹음(tree, greenery). 그리고 마음을 녹이는 녹음(melting). 초록의 그늘(綠陰)에서 몸과 마음을 녹이는 일상의 한 장면을 기록(錄音) 한다는 의미를 담고 있지요. 자극적이지 않고 실용적인 공간으로, 다소 시끌벅적할 우려가 있는 바비큐는 할 수 없어요. 대신 숙소에 에어드레서를 두었어요. 제주의 흑돼지 고깃집을 이용할 경우, 옷에 밴 냄새를 없앨 수 있도록. 녹음실에는 텔레비전이 없어요. 숙소에 머무는 동안 음악을 듣거나 책을 볼 수 있도록 오디오 장비와 LP, CD, 읽을 책을 비치해 두었습니다. 메모장과 볼펜도 제공하고 있습니다.
""저희 부부는 실제로 녹음실에서 많은 사람을 만나며 일을 한 경험이 있어요. 그곳에서의 소중한 추억이 이어지기를 바라는 마음으로 숙소 이름을 녹음실로 지었습니다. ‘녹음실 제주’ 바로 옆, 카페 ‘알맞은 시간’을 5년째 운영 중이에요. 낮 시간에는 카페 운영 중이라 여행 시 궁금한 내용을 편하게 소통할 수 있어요. 숙소 바로 앞에 저희가 사는 집이 있어요. 거의 하루 종일 녹음실 제주 주변을 왔다 갔다 합니다. 외딴 시골 마을이지만 호스트 부부가 가까이 있어 안심하고 편하게 머무실 수 있습니다.""

녹음실 제주
제주특별자치도 서귀포시 신흥리 274-1
제주특별자치도 서귀포시 남원읍 신흥앞동산로35번길 2-1
우리 숙소의 특별한 점
• 환경에도 좋고 건강에도 좋은 제로 웨이스트 숙소
• 물은 페트병 제품 대신 숙소 옆 카페에서 사용하는 정수된 물
• 캡슐 커피 대신 내려 마시는 스테인리스 필터 드립 커피
• 환경을 생각한 대나무 휴지와 우유팩 재활용 티슈
이런 여행객에게 추천
• 밤 산책, 아침 산책을 좋아하는 분
• 1인용 소파나 라운지 체어에 앉아 음악을 들으며 창 밖 돌담을 바라 보며 휴식하고 싶은 분
• 선선한 날씨에 테라스 이끼 정원에서 바람을 쐬고 싶은 분
알아두면 좋은 사항
• 귤 꽃이 피는 5월에는 귤 꽃 향기가 온 마을에 퍼져요.
• 귤이 열리는 계절 9~10월에는 마을이 주황색으로 물들어요.
• 숙소 옆 카페 ‘알맞은 시간’에서 1박 당 놀라운 맛의 커피를 1잔씩 드려요.
• 도보 거리에 편의점과 버스정류장이 있고, 어른들만 숙박이 가능해요.
"
6,al-kareum,stay,도토리 게스트하우스,"

2023년 5월 오픈한 도토리 게스트하우스는 제주 일주 도로변에 있어요. 숙소 건물과 식당 건물, 2동으로 되어 있는데 숙소 건물을 새로 지었고 식당은 원래 집이었던 곳을 리모델링했습니다. 두 공간 모두 직접 디자인하고 설계하고 현장을 살피며 지었어요. 힘들기도 했지만 어느 한 곳 애정이 가지 않는 곳이 없어요. 도토리 게스트하우스의 중요한 운영 키워드는 위생, 청결, 휴식입니다. 숙소와 식당 모두 세스코의 케어를 받고 있어요. 침구의 경우 열소독 처리한 흰색 얇은 시트를 제공하고 있어요. 이 시트를 덮고 그 위에 이불을 덮도록 한 것인데 여행지 숙소 이불에 몸이 바로 닿는 것이 편안하지 않은 고객들에게 높은 호응을 얻고 있어요.
""게스트하우스 운영전에는 은행에서 일했어요. 주말이면 1-2시간 걸려 서울 근교를 자주 찾았는데, 비슷한 이동시간을 들여 제주도에 오면 마음이 정말 다른 거예요. 바다와 산, 자연이 보이더라고요. 그 시절엔 제주도가 저의 이상향이었어요. 그러던 어느 날, 제주도에서 새 출발을 해야겠다는 결심을 했고, 남원읍 신흥리에 도토리 게스트하우스를 만들게 되었어요. 저는 만남의 인연은 소중하고 함께 어우러져 살아가야 한다고 부모님께 배우며 자랐어요. 도토리 게스트하우스에서 만나는 게스트와의 인연이 정말 소중해요. 23년 3월에 오픈했는데, 벌써 6번째 오신 분도 계세요. 정말 감사하죠. 앞으로도 이런 귀한 인연을 도토리 게스트하우스를 통해 많이 만들어나가고 싶어요.""

도토리 게스트하우스
제주특별자치도 서귀포시 남원읍 신흥리 632-1
제주특별자치도 서귀포시 남원읍 신흥고수로 9
우리 숙소의 특별한 점
• 1인당 29,000원이면 요리와 사케를 즐기며 대화를 나눌 수 있는 심야 도토리 식당
• 표선해수욕장과 가깝고, 버스정류장 1분 거리 편리한 교통
• 세스코의 전문 케어를 받는 위생적이고 청결한 숙소
• 침실에서는 숙면을 식당에서는 맛있는 식사를 자유롭게 할 수 있는 곳
이런 여행객에게 추천
• 홀로 하는 여행, 안전한 숙소에 머물고 싶은 분
• 제주의 감성에 대도시의 편리함 또한 놓치고 싶지 않은 여행객 
• 숙소 게스트들과도 교류하며 합리적인 비용으로 여행하고 싶은 분
알아두면 좋은 사항
• 매일 세탁된 침구와 열소독한 하얀 시트를 제공해 드려요.
• 도토리 식당의 저녁식사는 8시 부터고, 사전예약이 필요해요.
• 제주국제공항에서 131번 직행버스가 있어요. 남원읍 버스정류장 픽업서비스도 가능합니다.
"
7,al-kareum,stay,돌담한길펜션,"

제주도 서귀포시 남원읍은 제주에서도 날씨가 좋은 곳으로 알려진 마을이에요. 봄철에는 제주특산물로 유명한 고사리축제가 열리고, 감귤이 익어가는 풍경이 아름다워 ‘귤림추색’(감귤이 익어가는 가을풍경)이라고 불려요. 제주도민들도 남원읍은 살기 좋은 고장이라 한답니다.
돌담한길펜션은 72년 전통가옥을 현대식으로 리모델링해 내 집처럼 편안한 독채형 펜션이에요. 대형 숙박시설이 아니라 단 2개의 객실만 운영하고 있는 소박한 제주 살림집스러운데 실내에 들어서면 70년 전 천장 서까래가 그대로 드러나 옛 분위기가 물씬 풍기고, 안방에는 편백나무 침대가 건강한 수면을 도와주고 창밖으로는 감귤밭이 한눈에 들어와요. 겉은 옛집이지만 화장실, 주방, 거실 등 모든 이용시설은 이용하기 편리한 현대식으로 개조했어요. 마당에서는 영글어가는 귤나무를 바로 볼 수 있고, 주변 숲을 에쁘게 조경해 평소 꿈꾸던 제주생활을 즐기기에 안성맞춤이에요.
한가로운 낮에는 바로 곁에 함께 운영 중인 ‘한남307’ 카페 테라스에 앉아서 화귤얼그레이티를 마시며 미뤄두었던 독서삼매경에 빠져보는건 어떨까요? 앞마당에는 노란 감귤이 익어가고 뒤로는 나지막한 돌집 한 채, 그리고 내리쬐는 가을 햇살. 여유로움이라는 게 이런 게 아닐까 해요. 돌담한길펜션은 인적 드문 대로변을 끼고 있어 교통도 편리한데, 큰 바윗덩어리가 아름다운 자연을 집어 삼킬 듯 입을 크게 벌리고 있는 언덕이라 해서 이름 붙여진 큰엉 해안경승지에서 모터보트를 즐길 수 있고, 정상에 물이 고이는 산정화구호를 볼 수 있는 물영아리오름 등 주변에 가볼 만한 곳이 꽤 많아요. 집 마당에 설치된 오두막에 둘러 앉아 바비큐 파티를 즐기며 저무는 붉은 노을을 바라보세요. 정원에 핀 각양각색의 꽃들이 바람에 살랑거리면 소박한 듯 시작된 제주돌담집 생활은 어느새 프라이빗한 힐링체험이 된답니다.




“돌담한길펜션은 72년 된 전통 가옥을 현대식으로 리모델링해서 내 집처럼 편안하게 사용할 수 있는 독채형 팬션으로 제공되고 있어요. 편백나무 침대와 감귤밭이 보이는 창밖까지 어느하나 헛투로 한 것이 없어요. 한가로운 낮에는 바로 옆에 위치한 한남307 카페 테라스에 앉아 책과 함께 사색에 잠겨보는 건 어떠실까요? 프라이빗한 힐링체험이 될 거예요.”

돌담한길펜션
제주특별자치도 서귀포시 남원읍 한남리 307-3
제주특별자치도 서귀포시 남원읍 한신로 55
우리 숙소의 특별한 점
• 70년 전 천장 서까래가 그대로 드러나 있는 소박한 제주 살림집을 경험 가능
• 큰엉 해안경승지나 물영아리오름등 주위 가볼만한 곳이 많음
• 주변 숲을 이쁘게 조경하여 마당에서 귤나무와 함께 제주생활을 즐기기에 안성맞춤
이런 여행객에게 추천
• 제주의 전통 가옥을 체험해보고 싶은 분
• 해안가와 오름 등 다양한 관광지를 경험하고 싶은 분
• 제주 가을의 풍경을 한눈에 담고 싶은 분
알아두면 좋은 사항
• 바베큐 장에서 바베큐 파티를 할 수 있어요.
• 바베큐장 이용은 현장결제를 하고 있어요.
"
8,al-kareum,stay,루다스테이,"

아들의 태명인 루다를 따서 루다스테이로 이름을 지었어요. 소중한 가족이 직접 살아도 충분한 숙소를 만들고 싶었어요. 조용한 동네에 위치한 이 숙소는 깨끗하고 쾌적해요. 갖춰진 집에 입주하는 느낌이 들거에요. 주방에는 전자레인지뿐만 아니라 각종 요리도구와 환풍 시설이 갖춰져 있어서, 웬만한 요리는 다 가능하구요. 거실에 놓인 테이블과 티비는 널찍하고, 화장실은 보기 드물 정도로 깨끗하고 욕조도 있답니다. 눈길을 끄는 건 테라스인데, 밖에서 보기 어려운 구조로 설계되어 나만의 시간을 방해 없이 누릴 수 있어요. 쾌적한 여행을 선호하는 분들에게 추천드려요.
"" 많은 시간과 노력을 투자하여 지금 루다 스테이를 만들었어요. 제 아들 태명인 루다와 스테이를 붙였어요. 루다가 머무르는 공간이라는 이름처럼 소중한 사람, 혹은 내 가족이 지냈을 때 만족할만한 공간을 만들고 싶었는데요. 숙소라기보단 집에 머물다 간 느낌을 드리고 싶었어요. 주방엔 각종 요리도구와 환풍 시설도 있어 원하는 요리 만들 수도 있어요. 거실도 갖춰져 있고, 화장실 안엔 욕조도 있답니다. 테라스는 밖에서 보기 어려워 나만의 시간을 즐기실 수 있어요. 루다 스테이는 오래전부터 제주도에 살고 싶었던 마음을 가득 담은 공간이에요. ""

루다스테이
제주특별자치도 서귀포시 남원읍 신흥리 557-26
제주특별자치도 서귀포시 남원읍 신흥로 74 1층
우리 숙소의 특별한 점
• 밖에서는 안이 안보이는 구조의 테라스에서의 조경 감상
• 깨끗하고 쾌적한 룸 컨디션
• 2인을 위한 스튜디오 타입의 룸과 가족이 함께 머물 수 있는 룸
이런 여행객에게 추천
• 제주 전경을 느낄 수 있는 테라스에서 휴식을 취하고 싶은 분
• 커플이나 가족끼리 단란한 공간을 원하는 분
• 깨끗하고 쾌적한 룸 컨디션을 원하는 분
알아두면 좋은 사항
• 바베큐 장을 따로 제공하고 있지 않아요.
• 반려동물은 입실이 불가능해요.
"
9,al-kareum,stay,룸엣155 펜션,"

바다와 인접해 있어 산책하기 좋은 룸엣155펜션이에요. 테라스에서 차한잔하며 바다멍하고 밤에는 파도소리 들으며 충분한 휴식을 즐길 수 있어요. 조용히 쉬고 싶다면 방에서 보이는 바다 풍경과 함께 정원의 아름다운 야자수와 잔디밭을 즐기고 가세요.
""직장생활 은퇴하고 제주도가 좋아 제주로 와서 이곳에 자리잡고 살고 있습니다. 모든 분들이 머무는 동안 편안하게 묵을 수 있도록 세세하게 챙겨드리고자 노력하고 있어요.""

룸엣155 펜션
제주특별자치도 서귀포시 남원읍 신흥리 155
제주특별자치도 서귀포시 남원읍 태신해안로 245-8
우리 숙소의 특별한 점
• 푸르른 잔디밭에서 즐기는 공놀이, 배드민턴, 바베큐
• 가을, 겨울에 숙소앞에서 바라보는 해돋이
• 여행지에서 즐기는 낚시
• 연박 시 제공되는 와인 한 병으로 분위기 있는 여행
이런 여행객에게 추천
• 조용하게 온전한 휴식으로 휴가를 보내고 싶은 분
• 해안 산책로를 걸으며 건강해지고 싶은 분
• 침대에서 편안히 바다를 바라보고 싶은 분
• 깨끗함과 청결이 무엇보다 중요한 분
알아두면 좋은 사항
• 버스정류장에서 도보 3분거리로 매우 가까워요.
• 도보거리에 편의점2개, 카페, 횟집, 흑돼지, 중국집, 딱새우집이 있어요
• 차량 8분~10분거리에 하나로 마트, 표선해수욕장, 큰엉해안경승로, 동백수목원, 허브동산이 있습니다.
• 숙소에 있는 자전거로 마을을 돌아볼 수 있어요.
"
